LAC,CELL_ID,LNG,LAT
10909,227,50.442352,50.442352
12505,56,50.27961731,50.27961731
12505,177,50.27961731,50.27961731
12505,57,50.27961731,50.27961731
12505,175,50.27961731,50.27961731
12505,227,50.266375,50.266375
51404,50136,49.934921,49.934921
51404,50132,49.926418,49.926418
51404,50133,49.924559,49.924559
51404,50125,49.93080139,49.93080139
51402,50105,49.93080139,49.93080139
51404,50135,49.93080139,49.93080139
51404,50121,49.921007,49.921007
51402,486,49.83696,49.83696
51402,483,49.837418,49.837418
51402,482,49.836731,49.836731
51402,32,49.836731,49.836731
51402,593,49.83604431,49.83604431
51402,1041,49.83604431,49.83604431
51401,726,49.87312317,49.87312317
51401,853,49.87312317,49.87312317
51401,343,49.87312317,49.87312317
51401,763,49.87312317,49.87312317
51404,50235,49.87312317,49.87312317
51401,725,49.87312317,49.87312317
51403,50062,49.843877,49.843877
51401,50088,49.87312317,49.87312317
51403,50066,49.87312317,49.87312317
51401,50091,49.852525,49.852525
51401,722,49.87312317,49.87312317
51404,50247,49.955521,49.955521
51404,50245,49.95552063,49.95552063
51404,50246,49.955521,49.955521
51404,25033,49.955521,49.955521
51404,25017,49.95552063,49.95552063
51403,50015,49.799283,49.799283
51403,50017,49.799584,49.799584
51403,50018,49.799576,49.799576
51403,50016,49.798967,49.798967
51403,50028,49.79896545,49.79896545
50601,50033,49.423322,49.423322
50601,50037,49.438056,49.438056
50601,50031,49.406662,49.406662
50601,50035,49.406662,49.406662
50601,50032,49.379608,49.379608
50601,50036,49.305348,49.305348
52004,12013,49.050523,49.050523
52004,12017,49.050752,49.050752
52004,12018,49.060822,49.060822
50601,10535,48.98460388,48.98460388
50601,50025,48.959328,48.959328
52004,12016,49.05601501,49.05601501
52004,50321,49.057046,49.057046
52004,50325,49.06700134,49.06700134
52004,50337,49.113011,49.113011
51805,113,49.564958,49.564958
51805,115,49.578784,49.578784
51805,117,49.55314636,49.55314636
51805,111,49.564821,49.564821
51805,305,49.55919,49.55919
51805,301,49.55314636,49.55314636
51805,72,49.55314636,49.55314636
51805,112,49.55314636,49.55314636
51805,116,49.55314636,49.55314636
51805,267,49.56276,49.56276
51805,36,49.570313,49.570313
51805,306,49.565164,49.565164
51805,76,49.55314636,49.55314636
51805,96,49.55314636,49.55314636
51805,302,49.563035,49.563035
51805,262,49.55314636,49.55314636
51805,265,49.56688,49.56688
51805,261,49.55314636,49.55314636
51805,102,49.576035,49.576035
51805,105,49.585766,49.585766
51805,106,49.566454,49.566454
51805,101,49.583087,49.583087
51805,166,49.57649231,49.57649231
51805,167,49.589314,49.589314
51805,336,49.57649231,49.57649231
51802,20516,50.000017,50.000017
51802,20512,49.999798,49.999798
51802,20515,50.005927,50.005927
51802,20517,50.004919,50.004919
51802,20511,50.005541,50.005541
51802,20513,50.00555,50.00555
51802,30036,50.09746,50.09746
51802,30035,50.106857,50.106857
51802,30037,50.09746,50.09746
51802,30031,50.103561,50.103561
51802,30033,50.09746,50.09746
51802,30011,50.108532,50.108532
51802,30015,50.105545,50.105545
51802,30016,50.077848,50.077848
51802,30012,50.091031,50.091031
51802,30025,50.11989,50.11989
51802,30022,50.071927,50.071927
51802,30021,50.114746,50.114746
51802,30026,50.064357,50.064357
51802,30023,50.129197,50.129197
51802,30027,50.124896,50.124896
51802,50042,50.251292,50.251292
51802,51106,50.099143,50.099143
51802,30017,50.036883,50.036883
51404,50361,50.00182,50.00182
51802,11561,50.431779,50.431779
51802,11566,50.399095,50.399095
51802,50075,50.426561,50.426561
51802,11562,50.350542,50.350542
51802,11565,50.430683,50.430683
51802,50085,50.429308,50.429308
51802,50097,50.419108,50.419108
51802,50071,50.426365,50.426365
51802,50096,50.417737,50.417737
51802,50092,50.426564,50.426564
51802,11567,50.418836,50.418836
51802,50093,50.451504,50.451504
51802,50081,50.438146,50.438146
51802,50065,50.393455,50.393455
51802,30046,50.116588,50.116588
51802,30042,50.118485,50.118485
51802,30041,50.12703,50.12703
51802,30043,50.119034,50.119034
51802,30045,50.126532,50.126532
51802,30047,50.118444,50.118444
51802,30013,50.020459,50.020459
51404,50365,49.999581,49.999581
54120,16842,50.001755,50.001755
51802,30032,50.097392,50.097392
51805,355,49.871407,49.871407
51805,396,49.539642,49.539642
51805,392,49.539625,49.539625
51805,395,49.548144,49.548144
51805,12,49.543408,49.543408
51805,293,49.547865,49.547865
51805,391,49.549027,49.549027
51805,295,49.53804,49.53804
51805,122,49.543991,49.543991
51805,397,49.543408,49.543408
51805,23,49.543408,49.543408
51805,393,49.543259,49.543259
51805,17,49.543533,49.543533
51805,13,49.543408,49.543408
51805,16,49.543337,49.543337
51805,53,49.5504,49.5504
51805,213,49.557095,49.557095
51805,25,49.543259,49.543259
51805,21,49.543337,49.543337
51805,15,49.552231,49.552231
51805,54,49.55555,49.55555
51805,126,49.540394,49.540394
51805,27,49.543533,49.543533
51805,212,49.542618,49.542618
51805,196,49.52179,49.52179
51805,192,49.52179,49.52179
51805,201,49.52179,49.52179
